sample,symbol
197,N
489,N
804,N
1127,N
1430,N
1739,N
2040,N
2344,N
2641,N
2961,N
3278,N
3579,N
3887,N
4195,N
4494,N
4786,N
5101,N
5419,N
5725,N
6044,N
6343,N
6638,N
6934,N
7261,N
7578,N
7884,N
8195,N
8499,N
8802,N
9104,N
9423,N
9733,N
10042,N
10362,N
10669,N
10970,N
11275,N
11603,N
11935,N
12253,N
12573,N
12888,N
13196,N
13512,N
13845,N
14167,N
14480,N
14799,N
15102,N
15402,N
15717,N
16033,N
16360,N
16663,N
16973,N
17273,N
17565,N
17886,N
18209,N
18516,N
18821,N
19143,N
19450,N
19749,N
20070,N
20395,N
20720,N
21033,N
21347,N
21653,N
21954,N
22285,N
22615,N
22942,N
23253,N
23567,N
23876,N
24182,N
24502,N
24829,N
25137,N
25454,N
25766,N
26066,N
26370,N
26695,N
27031,N
27355,N
27674,N
27983,N
28299,N
28621,N
28954,N
29283,N
29589,N
29903,N
30213,N
30523,N
30835,N
31159,N
31496,N
31813,N
32129,N
32439,N
32743,N
33071,N
33403,N
33726,N
34030,N
34336,N
34648,N
34952,N
35277,N
35604,N
35925,N
36242,N
36560,N
36868,N
37170,N
37497,N
37826,N
38135,N
38435,N
38734,N
39036,N
39337,N
39667,N
39987,N
40298,N
40617,N
40930,N
41242,N
41551,N
41875,N
42204,N
42523,N
42842,N
43143,N
43443,N
43759,N
44088,N
44411,N
44716,N
45032,N
45343,N
45650,N
45968,N
46301,N
46631,N
46946,N
47258,N
47562,N
47861,N
48187,N
48517,N
48847,N
49150,N
49455,N
49763,N
50067,N
50390,N
50698,N
51016,N
51321,N
51632,N
51940,N
52237,N
52556,N
52888,N
53209,N
53521,N
53820,N
54104,N
54430,N
54760,N
55080,N
55391,N
55703,N
56014,N
56316,N
56604,N
56922,N
57238,N
57550,N
57868,N
58171,N
58470,N
58772,N
59097,N
59416,N
59723,N
60036,N
60337,N
60641,N
60939,N
61252,N
61567,N
61874,N
62189,N
62489,N
62781,N
63073,N
63388,N
63707,N
64022,N
64321,N
64619,N
64919,N
65217,N
65534,N
65844,N
66153,N
66452,N
66753,N
67046,N
67329,N
67620,N
67937,N
68238,N
68525,N
68811,N
69093,N
69371,N
69666,N
69978,N
70284,N
70578,N
70880,N
71180,N
71466,N
71754,N
72064,N
72374,N
72676,N
72982,N
73282,N
73578,N
73864,N
74180,N
74489,N
74793,N
75082,N
75382,N
75671,N
75957,N
76270,N
76585,N
76891,N
77192,N
77490,N
77777,N
78060,N
78368,N
78679,N
78990,N
79293,N
79599,N
79895,N
80197,N
80514,N
80830,N
81143,N
81448,N
81757,N
82060,N
82363,N
82670,N
82992,N
83318,N
83635,N
83951,N
84258,N
84561,N
84887,N
85220,N
85540,N
85847,N
86158,N
86467,N
86769,N
87091,N
87413,N
87738,N
88041,N
88352,N
88665,N
88963,N
89269,N
89593,N
89910,N
90212,N
90528,N
90826,N
91113,N
91433,N
91750,N
92063,N
92363,N
92679,N
92978,N
93270,N
93589,N
93908,N
94220,N
94527,N
94830,N
95123,N
95413,N
95732,N
96051,N
96362,N
96668,N
96964,N
97266,N
97564,N
97883,N
98201,N
98522,N
98829,N
99136,N
99432,N
99721,N
100034,N
100364,N
100684,N
100988,N
101291,N
101600,N
101901,N
102222,N
102543,N
102864,N
103164,N
103475,N
103774,N
104067,N
104387,N
104711,N
105019,N
105317,N
105620,N
105920,N
106215,N
106537,N
106856,N
107172,N
107483,N
107803,N
108110,N
108407,N
108725,N
109046,N
109363,N
109670,N
109972,N
110267,N
110562,N
110885,N
111207,N
111521,N
111826,N
112131,N
112436,N
112747,N
113064,N
113379,N
113705,N
114021,N
114333,N
114630,N
114932,N
115260,N
115585,N
115891,N
116204,N
116509,N
116816,N
117108,N
117427,N
117745,N
118051,N
118364,N
118671,N
118970,N
119270,N
119588,N
119912,N
120220,N
120531,N
120835,N
121130,N
121423,N
121748,N
122066,N
122369,N
122679,N
122988,N
123294,N
123586,N
123899,N
124220,N
124524,N
124836,N
125139,N
125430,N
125720,N
126047,N
126371,N
126681,N
126982,N
127291,N
127594,N
127895,N
128219,N
128539,N
128847,N
129169,N
129475,N
129773,N
130070,N
130397,N
130719,N
131033,N
131347,N
131654,N
131962,N
132276,N
132602,N
132922,N
133231,N
133541,N
133846,N
134153,N
134456,N
134775,N
135100,N
135408,N
135717,N
136013,N
136314,N
136621,N
136950,N
137281,N
137591,N
137904,N
138213,N
138510,N
138813,N
139130,N
139454,N
139757,N
140068,N
140366,N
140662,N
140968,N
141292,N
141603,N
141904,N
142212,N
142514,N
142818,N
143123,N
143448,N
143769,N
144080,N
144399,N
144704,N
145006,N
145321,N
145646,N
145978,N
146292,N
146595,N
146891,N
147192,N
147514,N
147841,N
148158,N
148465,N
148775,N
149077,N
149369,N
149691,N
150012,N
150345,N
150656,N
150961,N
151269,N
151573,N
151898,N
152229,N
152549,N
152857,N
153170,N
153481,N
153785,N
154102,N
154425,N
154746,N
155062,N
155368,N
155671,N
155971,N
156295,N
156618,N
156931,N
157237,N
157539,N
157845,N
158153,N
158483,N
158807,N
159119,N
159446,N
159760,N
160063,N
160370,N
160700,N
161023,N
161334,N
161646,N
161941,N
162239,N
162543,N
162864,N
163188,N
163495,N
163811,N
164117,N
164423,N
164731,N
165058,N
165376,N
165684,N
165994,N
166298,N
166602,N
166915,N
167238,N
167568,N
167877,N
168186,N
168488,N
168797,N
169113,N
169424,N
169744,N
170054,N
170364,N
170670,N
170966,N
171280,N
171598,N
171925,N
172227,N
172528,N
172825,N
173117,N
173431,N
173756,N
174073,N
174374,N
174684,N
174989,N
175287,N
175594,N
175914,N
176235,N
176543,N
176859,N
177156,N
177440,N
177760,N
178083,N
178393,N
178687,N
178990,N
179285,N
179582,N
179887,N
180200,N
180517,N
180828,N
181140,N
181438,N
181733,N
182045,N
182369,N
182696,N
183008,N
183312,N
183614,N
183924,N
184242,N
184561,N
184882,N
185188,N
185497,N
185803,N
186095,N
186351,V
186720,N
187044,N
187342,N
187634,N
187920,N
188208,N
188504,N
188820,N
189126,N
189419,N
189725,N
190024,N
190324,N
190612,N
190947,N
191269,N
191578,N
191892,N
192207,N
192512,N
192823,N
193157,N
193486,N
193790,N
194098,N
194398,N
194708,N
195027,N
195346,N
195680,N
195997,N
196312,N
196619,N
196915,N
197238,N
197563,N
197874,N
198175,N
198486,N
198780,N
199071,N
199383,N
199693,N
199999,N
200296,N
200598,N
200891,N
201182,N
201486,N
201795,N
202105,N
202401,N
202700,N
202987,N
203282,N
203574,N
203889,N
204201,N
204496,N
204799,N
205098,N
205394,N
205681,N
205987,N
206300,N
206602,N
206909,N
207216,N
207513,N
207802,N
208114,N
208428,N
208735,N
209032,N
209330,N
209627,N
209922,N
210235,N
210543,N
210854,N
211152,N
211454,N
211748,N
212034,N
212347,N
212665,N
212977,N
213274,N
213575,N
213867,N
214153,N
214464,N
214780,N
215094,N
215389,N
215690,N
215989,N
216288,N
216581,N
216890,N
217201,N
217505,N
217805,N
218095,N
218396,N
218674,N
218984,N
219294,N
219589,N
219891,N
220182,N
220467,N
220750,N
221056,N
221365,N
221667,N
221958,N
222260,N
222555,N
222843,N
223149,N
223466,N
223775,N
224068,N
224362,N
224660,N
224948,N
225255,N
225574,N
225890,N
226190,N
226501,N
226804,N
227106,N
227421,N
227742,N
228062,N
228368,N
228686,N
228988,N
229297,N
229612,N
229944,N
230258,N
230562,N
230874,N
231182,N
231493,N
231800,N
232119,N
232443,N
232742,N
233051,N
233345,N
233640,N
233962,N
234292,N
234616,N
234937,N
235157,N
235510,N
235816,N
236144,N
236467,N
236797,N
237090,N
237402,N
237703,N
238001,N
238325,N
238652,N
238975,N
239287,N
239597,N
239895,N
240197,N
240530,N
240851,N
241167,N
241481,N
241794,N
242092,N
242386,N
242703,N
243017,N
243337,N
243653,N
243954,N
244257,N
244560,N
244890,N
245210,N
245517,N
245836,N
246143,N
246447,N
246752,N
247075,N
247391,N
247698,N
248023,N
248330,N
248625,N
248926,N
249250,N
249580,N
249896,N
250209,N
250522,N
250809,N
251113,N
251439,N
251752,N
252061,N
252372,N
252674,N
252975,N
253273,N
253582,N
253901,N
254214,N
254531,N
254831,N
255137,N
255443,N
255778,N
256090,N
256393,N
256705,N
257013,N
257314,N
257619,N
257939,N
258260,N
258584,N
258896,N
259194,N
259487,N
259769,N
260094,N
260411,N
260713,N
261020,N
261324,N
261627,N
261942,N
262265,N
262587,N
262909,N
263228,N
263537,N
263842,N
264163,N
264499,N
264819,N
265130,N
265438,N
265737,N
266047,N
266345,N
266661,N
266975,N
267278,N
267582,N
267881,N
268175,N
268481,N
268800,N
269128,N
269439,N
269750,N
270052,N
270353,N
270682,N
271016,N
271341,N
271647,N
271957,N
272257,N
272550,N
272865,N
273176,N
273486,N
273795,N
274108,N
274406,N
274700,N
275027,N
275354,N
275689,N
275969,N
276272,N
276572,N
276863,N
277178,N
277501,N
277813,N
278123,N
278423,N
278721,N
279013,N
279331,N
279648,N
279966,N
280269,N
280574,N
280861,N
281154,N
281478,N
281800,N
282114,N
282419,N
282731,N
283044,N
283343,N
283656,N
283977,N
284307,N
284617,N
284915,N
285215,N
285514,N
285837,N
286161,N
286491,N
286789,N
287083,N
287389,N
287682,N
