sample,symbol
243,N
693,N
1119,N
1552,N
1989,N
2444,N
2885,N
3307,N
3744,N
4156,N
4594,N
5016,N
5457,N
5878,N
6327,N
6756,N
7200,N
7633,N
8072,N
8500,N
8936,N
9356,N
9794,N
10220,N
10661,N
11087,N
11517,N
11952,N
12386,N
12812,N
13236,N
13671,N
14100,N
14528,N
14981,N
15419,N
15865,N
16316,N
16768,N
17200,N
17650,N
18089,N
18538,N
18983,N
19416,N
19869,N
20318,N
20772,N
21222,N
21651,N
22093,N
22532,N
22988,N
23423,N
23898,N
24362,N
24815,N
25252,N
25688,N
26108,N
26540,N
26953,N
27396,N
27852,N
28278,N
28726,N
29139,N
29575,N
30022,N
30450,N
30888,N
31319,N
31755,N
32196,N
32642,N
33085,N
33517,N
33957,N
34397,N
34843,N
35266,N
35689,N
36127,N
36586,N
37033,N
37480,N
37934,N
38370,N
38826,N
39276,N
39717,N
40173,N
40637,N
41088,N
41516,N
41960,N
42380,N
42823,N
43248,N
43680,N
44110,N
44557,N
44975,N
45423,N
45862,N
46298,N
46746,N
47170,N
47608,N
48057,N
48492,N
48928,N
49347,N
49787,N
50211,N
50645,N
51074,N
51507,N
51951,N
52382,N
52827,N
53246,N
53666,N
54105,N
54533,N
54979,N
55394,N
55831,N
56275,N
56710,N
57144,N
57571,N
58017,N
58436,N
58873,N
59295,N
59722,N
60161,N
60587,N
61020,N
61431,N
61871,N
62300,N
62732,N
63153,N
63575,N
64008,N
64422,N
64867,N
65286,N
65712,N
66146,N
66580,N
67013,N
67445,N
67891,N
68321,N
68763,N
69199,N
69623,N
70070,N
70513,N
70945,N
71383,N
71830,N
72265,N
72716,N
73143,N
73576,N
74005,N
74433,N
74879,N
75305,N
75749,N
76201,N
76663,N
77102,N
77545,N
77990,N
78423,N
78873,N
79310,N
79768,N
80228,N
80678,N
81121,N
81560,N
82007,N
82443,N
82881,N
83317,N
83749,N
84196,N
84637,N
85083,N
85514,N
85948,N
86385,N
86822,N
87253,N
87687,N
88134,N
88576,N
89022,N
